steam_id,comp_main,comp_plus,comp_100
3241660,31780,35455,114549
268050,55187,72080,146283
281990,117097,324682,1648284
442070,6840,23249,23168
371660,53769,85049,131628
219990,77647,175458,879639
239200,14899,18026,21233
6060,27946,64276,190755
847370,36343,63572,123487
1285190,104578,179537,383720
2344520,93196,176641,682517
292120,172784,220183,378432
39150,138113,189918,272539
278360,11013,15640,33232
113200,39036,179612,503695
1321440,71203,98113,196586
17460,61087,99713,152942
848450,73087,95223,112128
1065310,38626,47918,80528
488790,65434,81251,101664
225080,11077,12606,14544
233130,44200,55678,127414
19680,50228,57108,80668
211420,164827,225587,381858
12140,29132,33138,41348
1382070,14735,18354,22340
534380,87758,177887,369437
1222690,184550,333053,523365
546560,43968,51669,67750
1173780,74053,87538,89555
939850,15883,19845,63616
1449690,151570,170267,173569
311210,32474,53445,301877
270880,82158,319322,420248
1659420,73671,91319,189386
2375550,45124,77953,118985
2144740,29914,40075,60869
239160,39488,79966,160549
1293830,55024,180259,579780
261030,32927,36429,37194
383180,36016,62492,99810
201270,99205,257012,778113
225260,33200,50451,90075
255520,5737,7629,7887
224760,21506,29804,42015
1944430,19620,26613,48597
38410,109590,170196,298612
12150,22242,27807,34300
10180,23769,38290,111703
1244090,100658,127611,157197
35720,32678,48680,125017
614570,23617,41756,64935
1712840,20810,38298,133046
291650,130403,230796,394826
40990,58169,65758,75960
233270,15998,25460,31256
21100,20825,28387,63357
911400,53047,108168,203038
1295510,206415,323424,468066
202970,25410,38184,112459
475150,111220,166484,415385
1649240,68599,110220,230675
2622380,101131,144180,239745
2386310,41271,66675,109562
464920,79450,165756,684961
42910,37455,58374,163241
391720,12330,16792,40825
3164500,58321,142063,169172
213330,32410,56140,87203
234650,41785,51704,63853
1325200,150408,304481,529496
2131650,56941,70128,90350
330020,50948,67286,101797
67370,21775,29676,54364
520720,4666,5822,9216
233450,60907,156464,243924
334940,20316,29016,40625
570,2688513,4105609,8615289
312660,38543,64343,160289
1577120,32975,39651,121846
1551360,76087,165839,488464
606280,51025,68435,113841
2362420,88844,127793,180617
423230,19742,27365,64509
1496790,62651,99530,178616
701160,77555,105688,222037
1055540,5440,7725,16754
1931770,32708,34960,36492
418240,89666,109747,203982
640590,22612,36306,64451
553420,44275,59954,78268
15700,45818,51952,52171
282800,28821,147854,149730
312520,73370,116765,252059
1533420,37681,66655,88869
1113560,71555,146388,250903
312840,29320,32829,36264
1184370,200647,491580,930748
42700,25629,45908,65650
1657630,38921,85272,149490
1491670,5435,6088,8141
653530,29500,34117,37757
2427430,54298,85122,114202
584400,20486,34160,68505
242550,36169,57998,113786
1148590,25691,33154,37846
640820,278109,472167,747285
2072450,205337,303040,424757
228280,111862,195820,343868
613100,47598,99843,174965
16450,25618,31360,39217
795420,28337,39534,39827
1049410,9475,13635,37725
924970,43429,84365,353083
921570,217717,290583,373601
571310,26303,36698,49115
498240,30159,32971,33563
305620,78954,194351,836877
1983260,55118,75929,93604
627270,20457,56114,193618
365450,25965,31898,40828
2475490,9120,10741,12710
304930,74571,273231,488897
238210,48077,61731,80326
241600,59225,95009,139385
979690,43078,67627,94100
690040,25883,43083,52295
34270,22403,44315,49049
1135690,12955,14936,15497
91310,66098,100651,174916
881100,96784,299246,499020
6020,36168,40950,50304
10,92466,328530,2789169
1888160,63446,101978,182537
3017580,3600,5400,13644
6920,32679,48619,66673
629820,29243,36755,46402
384190,6952,8808,14525
274520,66013,98914,147269
289690,18846,25322,49461
3937550,49249,111198,174058
71340,19512,37867,85481
